,date,tempC,windspeedKmph,cloudcover,uvIndex,weather
0,2019-02-25 00:00:00,6,7,5,1,Partly cloudy
1,2019-02-25 01:00:00,6,6,5,1,Partly cloudy
2,2019-02-25 02:00:00,6,5,4,1,Partly cloudy
3,2019-02-25 03:00:00,7,4,4,1,Partly cloudy
4,2019-02-25 04:00:00,7,4,3,1,Partly cloudy
5,2019-02-25 05:00:00,7,4,3,1,Partly cloudy
6,2019-02-25 06:00:00,7,4,2,3,Partly cloudy
7,2019-02-25 07:00:00,8,4,2,3,Partly cloudy
8,2019-02-25 08:00:00,9,4,1,3,Partly cloudy
9,2019-02-25 09:00:00,9,5,1,3,Partly cloudy
10,2019-02-25 10:00:00,11,5,0,4,Partly cloudy
11,2019-02-25 11:00:00,12,5,0,4,Sunny
12,2019-02-25 12:00:00,14,5,0,4,Sunny
13,2019-02-25 13:00:00,14,4,1,4,Sunny
14,2019-02-25 14:00:00,15,3,1,5,Sunny
15,2019-02-25 15:00:00,16,3,2,5,Sunny
16,2019-02-25 16:00:00,15,2,3,5,Sunny
17,2019-02-25 17:00:00,14,2,4,4,Partly cloudy
18,2019-02-25 18:00:00,14,2,5,4,Partly cloudy
19,2019-02-25 19:00:00,13,2,5,4,Partly cloudy
20,2019-02-25 20:00:00,12,3,5,4,Partly cloudy
21,2019-02-25 21:00:00,12,3,5,1,Partly cloudy
22,2019-02-25 22:00:00,11,3,5,1,Partly cloudy
23,2019-02-25 23:00:00,11,4,5,1,Partly cloudy
24,2019-02-26 00:00:00,10,4,5,1,Partly cloudy
25,2019-02-26 01:00:00,10,4,5,1,Partly cloudy
26,2019-02-26 02:00:00,10,5,5,1,Partly cloudy
27,2019-02-26 03:00:00,9,5,5,1,Partly cloudy
28,2019-02-26 04:00:00,9,5,5,1,Partly cloudy
29,2019-02-26 05:00:00,9,5,6,1,Partly cloudy
30,2019-02-26 06:00:00,9,5,6,3,Partly cloudy
31,2019-02-26 07:00:00,9,5,6,3,Partly cloudy
32,2019-02-26 08:00:00,10,5,6,3,Partly cloudy
33,2019-02-26 09:00:00,11,5,6,4,Partly cloudy
34,2019-02-26 10:00:00,12,5,5,4,Partly cloudy
35,2019-02-26 11:00:00,14,5,5,4,Partly cloudy
36,2019-02-26 12:00:00,15,5,4,5,Partly cloudy
37,2019-02-26 13:00:00,16,4,4,5,Partly cloudy
38,2019-02-26 14:00:00,17,4,4,5,Partly cloudy
39,2019-02-26 15:00:00,18,3,4,5,Partly cloudy
40,2019-02-26 16:00:00,18,3,13,5,Partly cloudy
41,2019-02-26 17:00:00,17,3,23,5,Partly cloudy
42,2019-02-26 18:00:00,17,3,33,5,Partly cloudy
43,2019-02-26 19:00:00,16,3,28,5,Partly cloudy
44,2019-02-26 20:00:00,15,3,24,4,Partly cloudy
45,2019-02-26 21:00:00,14,4,19,1,Partly cloudy
46,2019-02-26 22:00:00,13,4,18,1,Partly cloudy
47,2019-02-26 23:00:00,13,4,16,1,Partly cloudy
48,2019-02-27 00:00:00,12,4,14,1,Partly cloudy
49,2019-02-27 01:00:00,12,4,13,1,Partly cloudy
50,2019-02-27 02:00:00,11,5,13,1,Partly cloudy
51,2019-02-27 03:00:00,11,5,12,1,Partly cloudy
52,2019-02-27 04:00:00,11,5,10,1,Partly cloudy
